event_cause,veh_type,event_type,weekday_name,hour,weekday,month,is_peak_hour,is_night,is_weekend,is_heavy_vehicle,is_closure_prone_cause,has_junction,cause_closure_interaction,priority_high,requires_road_closure
vehicle_breakdown,lcv,unplanned,Thursday,17,3,3,1,0,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,heavy_vehicle,unplanned,Tuesday,4,1,1,0,1,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,private_bus,unplanned,Tuesday,4,1,1,0,1,0,0,0,1,vehicle_breakdown_closure0,0,0
vehicle_breakdown,bmtc_bus,unplanned,Tuesday,7,1,1,1,0,0,1,0,0,vehicle_breakdown_closure0,0,0
vehicle_breakdown,lcv,unplanned,Tuesday,5,1,1,1,0,0,1,0,0,vehicle_breakdown_closure0,0,0
vehicle_breakdown,private_car,unplanned,Tuesday,5,1,1,1,0,0,0,0,1,vehicle_breakdown_closure0,1,0
vehicle_breakdown,ksrtc_bus,unplanned,Tuesday,4,1,1,0,1,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,heavy_vehicle,unplanned,Thursday,19,3,3,1,0,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,bmtc_bus,unplanned,Tuesday,8,1,1,1,0,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,bmtc_bus,unplanned,Tuesday,8,1,1,1,0,0,1,0,0,vehicle_breakdown_closure0,1,1
vehicle_breakdown,lcv,unplanned,Tuesday,5,1,1,1,0,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,bmtc_bus,unplanned,Thursday,20,3,3,1,0,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,heavy_vehicle,unplanned,Tuesday,15,1,1,0,0,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,bmtc_bus,unplanned,Tuesday,20,1,1,1,0,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,lcv,unplanned,Thursday,18,3,3,1,0,0,1,0,0,vehicle_breakdown_closure0,0,0
vehicle_breakdown,bmtc_bus,unplanned,Thursday,6,3,12,1,0,0,1,0,1,vehicle_breakdown_closure0,0,0
vehicle_breakdown,lcv,unplanned,Tuesday,19,1,1,1,0,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,bmtc_bus,unplanned,Tuesday,21,1,1,1,0,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,lcv,unplanned,Tuesday,21,1,1,1,0,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,private_car,unplanned,Tuesday,21,1,1,1,0,0,0,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,truck,unplanned,Thursday,20,3,3,1,0,0,0,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,heavy_vehicle,unplanned,Tuesday,19,1,1,1,0,0,1,0,0,vehicle_breakdown_closure0,0,1
vehicle_breakdown,private_car,unplanned,Tuesday,22,1,1,0,1,0,0,0,0,vehicle_breakdown_closure0,0,0
vehicle_breakdown,private_car,unplanned,Tuesday,23,1,1,0,1,0,0,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,bmtc_bus,unplanned,Tuesday,23,1,1,0,1,0,1,0,0,vehicle_breakdown_closure0,0,0
vehicle_breakdown,bmtc_bus,unplanned,Tuesday,21,1,1,1,0,0,1,0,0,vehicle_breakdown_closure0,0,0
vehicle_breakdown,bmtc_bus,unplanned,Wednesday,0,2,1,0,1,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,bmtc_bus,unplanned,Wednesday,0,2,1,0,1,0,1,0,0,vehicle_breakdown_closure0,1,0
vehicle_breakdown,others,unplanned,Wednesday,1,2,1,0,1,0,0,0,0,vehicle_breakdown_closure0,0,0
vehicle_breakdown,lcv,unplanned,Tuesday,22,1,1,0,1,0,1,0,0,vehicle_breakdown_closure0,0,0
