id,status,authenticated,latitude,longitude,event_type,event_cause,corridor,zone,veh_type,start_datetime,hour,weekday,weekday_name,month,month_name,is_peak_hour,priority,priority_high,requires_road_closure,closed_datetime,duration_minutes,duration_bucket,junction,police_station,has_cargo_data,has_truck_age,has_junction,is_authenticated,cargo_material,reason_breakdown,age_of_truck,address
FKID000000,closed,True,13.0400041,77.5180991,unplanned,vehicle_breakdown,Tumkur Road,Unknown,lcv,2024-03-07 17:01:48.111000+00:00,17,3,Thursday,3,March,1,High,1,0,,,,unmapped,Peenya,0,0,0,1,,,,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)"
FKID000001,resolved,True,12.9218755,77.6451585,unplanned,vehicle_breakdown,ORR East 1,Unknown,heavy_vehicle,2024-01-30 04:07:24.173000+00:00,4,1,Tuesday,1,January,0,High,1,0,,,,unmapped,HSR Layout,0,0,0,1,,,,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)"
FKID000002,closed,True,12.955622,77.5857083,unplanned,others,Non-corridor,Central Zone 2,N/A,2023-11-11 06:18:03.343000+00:00,6,5,Saturday,11,November,1,Low,0,0,2024-01-30 04:56:03.281509+00:00,115117.99897515001,Slow,UrvashiJunction,Wilson Garden,0,0,1,1,,,,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)"
FKID000003,closed,True,13.0061469,77.5794348,unplanned,tree_fall,Non-corridor,Unknown,N/A,2024-03-07 17:56:55.061000+00:00,17,3,Thursday,3,March,1,Low,0,1,2024-03-14 07:42:05.549440+00:00,9465.174807333333,Slow,unmapped,Sadashivanagar,0,0,0,1,,,,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)"
FKID000004,closed,True,12.95398,77.5852333,unplanned,vehicle_breakdown,Non-corridor,Unknown,private_bus,2024-01-30 04:56:32.348000+00:00,4,1,Tuesday,1,January,0,Low,0,0,2024-01-30 05:35:17.338283+00:00,38.74983805,Fast,LalbaghMainGateJunc,Wilson Garden,0,0,1,1,,,,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)"
FKID000005,closed,True,13.0664854,77.5998755,unplanned,accident,Non-corridor,North Zone 1,N/A,2023-11-28 03:07:27.292421+00:00,3,1,Tuesday,11,November,0,Low,0,0,,,,unmapped,Hebbala,0,0,0,1,,,,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India"
FKID000006,closed,True,12.9328703,77.4879814,unplanned,vehicle_breakdown,Non-corridor,Unknown,bmtc_bus,2024-01-30 07:26:26.739000+00:00,7,1,Tuesday,1,January,1,Low,0,0,,,,unmapped,Kengeri,0,0,0,1,,,,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)"
FKID000007,closed,True,12.973175,77.6003961,unplanned,others,Non-corridor,Unknown,N/A,2024-01-30 06:05:59.339000+00:00,6,1,Tuesday,1,January,1,Low,0,0,2024-02-16 01:28:18.330429+00:00,24202.316523816666,Slow,unmapped,Cubbon Park,0,0,0,1,,,,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
FKID000008,closed,True,12.97883573,77.59953728,planned,public_event,CBD 2,Unknown,N/A,2024-02-12 02:05:46+00:00,2,0,Monday,2,February,0,High,1,0,,,,QueensStatueCircle,Cubbon Park,0,0,1,1,,,,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India"
FKID000009,closed,True,13.0373543,77.6540442,unplanned,vehicle_breakdown,Non-corridor,Unknown,lcv,2024-01-30 05:25:50.078000+00:00,5,1,Tuesday,1,January,1,Low,0,0,,,,unmapped,Hennuru,0,0,0,1,,,,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)"
FKID000010,closed,True,13.0008457,77.6813712,unplanned,water_logging,ORR East 2,Unknown,N/A,2024-03-07 18:01:40.182000+00:00,18,3,Thursday,3,March,1,High,1,0,2024-03-14 05:49:58.160945+00:00,9348.299649083334,Slow,unmapped,K.R. Pura,0,0,0,1,,,,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)"
FKID000011,closed,True,12.94457,77.5274017,unplanned,vehicle_breakdown,ORR West 1,Unknown,private_car,2024-01-30 05:21:06.975000+00:00,5,1,Tuesday,1,January,1,High,1,0,,,,MysoreRd-RingRdJunc(Nayandanahallii),Byatarayanapura,0,0,1,1,,,,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)"
FKID000012,active,True,12.9995223,77.6827499,unplanned,water_logging,ORR East 2,Unknown,N/A,2024-03-07 18:00:05.020000+00:00,18,3,Thursday,3,March,1,High,1,0,,,,unmapped,Mahadevapura,0,0,0,1,,,,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)"
